Preço,Quartos,Área Útil (m2),Vagas Estacionamento,Taxa Condomínio
8000000,5,580,6,0
7100000,4,430,4,496
7100000,4,430,4,0
6190000,4,430,4,496
6000000,5,807,5,7200
5800000,4,303,4,2200
5500000,4,472,4,0
5500000,4,452,5,3400
5500000,4,452,5,3400
5400000,5,750,6,3900
5000000,4,401,5,3000
5000000,4,401,4,0
5000000,4,340,3,0
5000000,4,1500,7,0
4800000,4,401,5,1500
4700000,4,401,6,2500
4500000,4,466,5,4200
4500000,4,401,4,0
4500000,4,350,3,0
4500000,4,303,4,0
4100000,4,405,4,3300
4100000,4,402,4,985
4100000,4,400,3,0
4000000,4,457,3,0
4000000,4,385,5,2250
4000000,4,324,4,0
3800000,4,420,3,4000
3800000,4,410,3,0
3800000,4,340,3,2000
3800000,4,308,4,0
3790000,4,420,4,985
3790000,4,405,4,2100
3790000,4,405,4,0
3790000,4,402,4,0
3714000,4,218,3,0
3600000,4,385,4,3000
3600000,4,308,4,2200
3540000,4,420,4,0
3522000,4,270,3,0
3500000,4,420,3,0
3500000,4,320,3,0
3500000,4,312,4,1700
3500000,4,289,4,1750
3500000,4,278,4,2000
3500000,4,278,4,1800
3500000,4,240,3,2800
3500000,3,233,3,0
3451000,4,281,3,0
3450000,4,278,4,2700
3400000,4,430,3,0
3400000,4,320,3,0
3357000,4,280,0,0
3300000,4,470,4,1500
3300000,4,375,5,0
3300000,4,303,4,0
3200000,6,650,3,1200
3200000,6,650,2,0
3200000,4,343,4,0
3200000,4,260,3,1600
3200000,4,231,3,0
3100000,4,260,3,0
3100000,4,218,3,0
3000000,6,720,4,0
3000000,5,400,0,0
3000000,4,639,5,1200
3000000,4,467,4,2000
3000000,4,385,4,0
3000000,4,384,4,0
3000000,4,260,3,1800
3000000,4,218,3,0
3000000,3,250,7,0
2995000,5,453,4,1660
2950000,4,187,3,0
2950000,4,187,3,0
2900000,4,405,3,0
2900000,4,360,4,3000
2900000,4,300,3,1700
2900000,4,300,3,0
2900000,4,246,3,2100
2900000,3,300,3,2000
2800000,5,235,4,0
2800000,4,360,4,0
2800000,4,354,4,2300
2800000,4,304,2,1650
2800000,4,280,3,1920
2800000,4,236,4,1350
2800000,4,218,3,1500
2764500,4,280,3,0
2750000,4,467,5,0
2750000,4,204,3,0
2700000,4,470,4,0
2700000,4,464,5,0
2700000,4,357,3,0
2700000,4,218,3,0
2700000,3,234,6,2800
2680000,4,187,3,0
2671000,3,220,6,0
2650000,4,155,3,1300
2600000,4,323,3,1900
2600000,4,280,3,0
2600000,4,240,4,1700
2600000,4,237,3,1570
2600000,4,235,3,0
2600000,4,217,3,0
2550000,4,204,3,950
2500000,5,480,4,1800
2500000,4,406,3,1700
2500000,4,374,4,0
2500000,4,312,3,2300
2500000,4,280,3,1320
2500000,4,280,3,0
2500000,4,260,4,2000
2500000,4,250,4,2200
2500000,4,250,4,2000
2500000,4,250,4,2000
2500000,4,250,3,1950
2500000,4,250,0,1780
2500000,4,230,4,2000
2500000,4,229,4,1800
2500000,4,220,3,1500
2500000,4,217,3,1300
2500000,4,205,3,950
2500000,4,204,3,0
2500000,3,406,3,1750
2500000,3,400,3,1700
2500000,3,250,3,1800
2500000,3,234,6,2800
2500000,3,234,0,2800
2500000,3,219,6,2600
2499999,4,400,3,0
2490000,4,250,4,1900
2480000,4,241,4,2000
2450000,4,230,4,2000
2450000,4,155,3,0
2400000,4,230,3,1550
2400000,2,297,4,0
2350000,4,188,2,0
2350000,4,155,3,0
2330000,4,223,3,1100
2300000,5,580,4,2000
2300000,4,250,3,1800
2300000,4,231,2,1500
2300000,4,220,3,0
2300000,4,210,3,1814
2300000,4,210,3,1814
2300000,4,210,3,1800
2300000,4,200,3,0
2300000,4,173,2,0
2250000,4,244,3,0
2250000,4,155,3,1300
2250000,4,155,3,1300
2250000,4,155,3,1200
2250000,4,155,0,0
2230000,4,219,3,1500
2200000,5,480,4,1200
2200000,5,341,3,1380
2200000,4,333,3,2600
2200000,4,270,3,1200
2200000,4,220,3,1700
2200000,4,220,3,1200
2200000,4,155,3,0
2150000,4,341,3,1260
2100000,4,262,3,2300
2100000,4,231,3,0
2100000,4,220,3,0
2100000,4,190,3,1400
2100000,4,181,3,0
2100000,4,181,3,0
2100000,4,176,3,0
2100000,4,172,2,0
2100000,4,155,3,1500
2100000,4,155,3,0
2097736,4,181,0,0
2097000,4,181,3,0
2050000,4,180,3,0
2020000,3,202,6,0
2000000,4,324,0,0
2000000,4,270,3,1250
2000000,4,265,2,0
2000000,4,255,2,1500
2000000,4,254,2,1500
2000000,4,214,3,1200
2000000,4,193,3,1100
2000000,4,193,3,0
2000000,4,192,3,0
2000000,4,192,3,0
2000000,4,172,2,0
2000000,4,155,3,0
2000000,4,155,3,0
2000000,3,234,0,1100
1999999,4,407,6,0
1990000,4,155,3,0
1950000,4,192,3,1100
1950000,4,192,3,0
1950000,4,181,3,0
1950000,4,150,3,1100
1950000,3,234,0,0
1940000,4,265,3,1250
1900000,4,260,3,1600
1900000,4,255,0,2000
1900000,4,192,3,1100
1900000,4,156,3,900
1900000,4,155,3,0
1900000,3,192,3,1200
1900000,3,223,3,1200
1850000,4,181,0,0
1850000,4,155,3,0
1850000,3,192,3,1100
1849000,4,155,3,0
1800000,5,520,5,0
1800000,5,154,3,1100
1800000,4,450,3,1800
1800000,4,380,2,0
1800000,4,360,4,600
1800000,4,330,3,2560
1800000,4,300,2,2400
1800000,4,264,3,2000
1800000,4,246,3,0
1800000,4,220,2,1212
1800000,4,193,3,0
1800000,4,181,3,1800
1800000,4,180,3,1250
1800000,4,170,3,1000
1800000,3,180,2,1250
1800000,3,177,3,900
1800000,3,177,2,900
1800000,3,170,3,1200
1800000,3,170,3,1000
1800000,3,202,9,0
1780000,3,178,5,0
1750000,5,265,3,1530
1750000,4,270,3,2000
1750000,4,234,2,1500
1750000,4,190,2,1200
1750000,4,189,2,0
1750000,4,181,3,0
1750000,4,150,2,0
1750000,3,187,3,0
1730000,4,234,0,1500
1730000,4,150,3,1100
1700000,4,374,2,1700
1700000,4,370,3,0
1700000,4,260,2,0
1700000,4,259,2,0
1700000,4,234,2,1500
1700000,4,187,3,0
1700000,4,187,3,0
1700000,4,177,3,0
1691000,3,169,5,0
1690000,4,280,3,1500
1690000,4,193,3,1000
1690000,3,65,0,0
1650000,4,247,3,0
1650000,4,190,2,1440
1650000,4,189,0,0
1650000,4,160,3,0
1650000,4,150,2,0
1650000,4,150,2,0
1650000,4,148,3,0
1650000,4,147,0,700
1650000,4,139,2,0
1650000,4,139,2,0
1600000,4,300,2,2200
1600000,4,231,3,1500
1600000,4,180,1,0
1600000,4,167,3,1000
1600000,4,167,3,0
1600000,4,155,3,1150
1600000,4,154,3,0
1600000,3,155,3,1500
1598000,4,143,2,0
1598000,4,139,2,0
1590000,4,260,1,0
1590000,4,164,3,0
1572000,4,183,3,0
1550000,4,189,2,1200
1550000,4,189,2,1200
1550000,4,147,2,0
1550000,4,147,2,0
1550000,4,120,3,1380
1541680,4,152,2,0
1541680,4,152,2,0
1541680,4,152,2,0
1540000,4,190,2,1200
1540000,4,152,2,750
1500000,7,260,2,0
1500000,6,172,2,600
1500000,4,450,4,1650
1500000,4,240,3,800
1500000,4,235,2,0
1500000,4,230,2,0
1500000,4,224,3,1200
1500000,4,221,3,1850
1500000,4,221,3,1800
1500000,4,221,3,1800
1500000,4,220,2,1212
1500000,4,215,3,900
1500000,4,213,3,1000
1500000,4,212,2,1300
1500000,4,202,2,0
1500000,4,190,2,0
1500000,4,185,3,0
1500000,4,183,3,0
1500000,4,183,3,0
1500000,4,182,3,1100
1500000,4,175,3,1000
1500000,4,160,3,1030
1500000,4,152,6,1350
1500000,4,152,2,750
1500000,3,285,3,1400
1500000,3,220,3,1600
1500000,3,200,3,2300
